Pair	PhenoLength	EnvDist	mH2D	mD2H	AVm	DivTime
D00-H00	2.690696614	3.229572537	1.18E-05	3.24E-06	7.53E-06	71945
D01-H01	2.419054209	13.67836198	8.13E-06	7.85E-06	7.99E-06	71918
D02-H04	5.142292116					
D03-H02	4.549937339	10.25948931	2.73E-05	2.08E-06	1.47E-05	44190
D04-H05	3.963502057	6.30812497	2.96E-05	3.69E-05	3.33E-05	37211
D05-H06	2.885796481		6.56E-06	1.14E-05	8.99E-06	67927
D12-H14	3.926266765	5.144665053	1.69E-06	4.24E-06	2.97E-06	110018
D32-H12	4.981129055		1.59E-05	5.25E-05	3.42E-05	38706
