allFiles Ecotype Pair Interaction
comp100133_c0.eigenvec.txt 0.159066353336411 0.870231840578987 0.854275352208611
comp1036906_c0.eigenvec.txt 0.0521552176734537 0.166376925013408 0.0865358841744437
comp104817_c0.eigenvec.txt 0.0517273378324594 0.461589164439198 0.295534747635807
comp1084557_c0.eigenvec.txt 0.0503077612404585 0.34869157071542 0.271276302344372
comp1094508_c0.eigenvec.txt 0.00267222789748431 0.281047747934818 0.0823379752170834
comp11029_c0.eigenvec.txt 0.0219116032205434 0.373740370786258 0.289692863878944
comp1114105_c0.eigenvec.txt 0.0455316607196326 0.809487107528373 0.732376791393652
comp1149917_c0.eigenvec.txt 0.754927940568029 0.954751255627902 0.955330166069965
comp119112_c0.eigenvec.txt 0.0037710401317061 0.158416014245633 0.0792546309821347
comp1199127_c0.eigenvec.txt 0.0567880159430357 0.539086569158759 0.34030178319621
comp12783_c0.eigenvec.txt 0.521189365813411 0.872205132072503 0.623423169212707
comp1304639_c0.eigenvec.txt 0.0628715178076388 0.218472032866091 0.226420959248781
comp163055_c0.eigenvec.txt 0.0331606473857269 0.723414373861236 0.451293186027661
comp174397_c0.eigenvec.txt 0.000462544138634626 0.310002038662652 0.074509744871475
comp175220_c0.eigenvec.txt 0.0559929601782408 0.73574000158804 0.287251662764597
comp176161_c0.eigenvec.txt 0.464445504209081 0.773127617867392 0.770888412187932
comp181014_c0.eigenvec.txt 0.970387136887971 0.998911500246448 0.997335489136809
comp181561_c0.eigenvec.txt 0.0303495267226611 0.325882655841703 0.194981183138286
comp19430_c0.eigenvec.txt 0.0116236020154717 0.211372223748155 0.0196472728118549
comp195965_c0.eigenvec.txt 0.0104791322190376 0.174213624494469 0.122114099983933
comp198893_c0.eigenvec.txt 0.101988407717924 0.605324436222701 0.382841225818743
comp200452_c0.eigenvec.txt 0.102338016883325 0.593139743322563 0.343667131970755
comp20174_c0.eigenvec.txt 0.0068622242264585 0.536590502489887 0.616310532102441
comp212296_c0.eigenvec.txt 0.0514314084485294 0.133382783855924 0.103052174926552
comp21523_c0.eigenvec.txt 0.00236279410174541 0.67209024913456 0.118309929378226
comp21621_c0.eigenvec.txt 0.0298405420469516 0.387003300473777 0.201636166053185
comp218661_c0.eigenvec.txt 0.0161754689908368 0.67749454507949 0.24329141010746
comp22545_c0.eigenvec.txt 0.00305387150484544 0.256342834915548 0.317014638756046
comp22859_c0.eigenvec.txt 0.0267082560615177 0.388496539173456 0.0835646159237057
comp233453_c0.eigenvec.txt 0.00375087107759561 0.129970770630856 0.135674786023934
comp23487_c0.eigenvec.txt 0.00431618744901069 0.165267565798852 0.17134636638657
comp24468_c0.eigenvec.txt 0.0348787047480427 0.230186248805656 0.210091720556524
comp25228_c0.eigenvec.txt 0.00923875927566979 0.405633753178354 0.288272340560599
comp2544_c0.eigenvec.txt 0.000536224350531295 0.290102809462265 0.18217326524084
comp25705_c0.eigenvec.txt 0.000161641942376233 0.451435600639152 0.553922220371838
comp26103_c0.eigenvec.txt 0.00102698937752271 0.94184556551005 0.886187415313063
comp26400_c0.eigenvec.txt 0.223045432497911 0.937672355072629 0.315121478665409
comp26682_c0.eigenvec.txt 0.104845088897625 0.281171329772893 0.225461290343336
comp26682_c1.eigenvec.txt 0.050494894712669 0.321302623587154 0.0859958010134315
comp27085_c0.eigenvec.txt 0.472901538866153 0.356381499580238 0.306470493806975
comp2718_c0.eigenvec.txt 0.503738516142189 0.866396832810131 0.539649266711577
comp275920_c0.eigenvec.txt 0.00159582175551022 0.638139079386257 0.228776775083329
comp276397_c0.eigenvec.txt 0.690619831051455 0.954711865492307 0.821957582586678
comp276979_c0.eigenvec.txt 0.754739176602165 0.897612373662744 0.933314643979937
comp27998_c0.eigenvec.txt 0.0418169932322473 0.893547940543173 0.202098309345283
comp28190_c0.eigenvec.txt 0.00137366559415917 0.0178102933114986 0.0348122383516897
comp28306_c0.eigenvec.txt 0.0587645036208093 0.446239194984143 0.489620914458457
comp28802_c0.eigenvec.txt 0.0433203735924031 0.416203644713562 0.113376388517898
comp289914_c0.eigenvec.txt 0.0001876901919136 0.285963657757133 0.0787458216669255
comp308337_c0.eigenvec.txt 0.214079136334839 0.590483389082452 0.301293809044745
comp3205_c0.eigenvec.txt 0.00144068436624933 0.0516336558411383 0.0324979606482666
