Pair	Ecotype	Population.ID	VH	WW	MSA	MSD	SBA	AREA	ELONG	DISS	CIRC
D01-H01	Dune	D01	0.527851824	0.27451517	-1.069819936	0.680821807	0.960604622	0.825940587	0.550077693	0.845400517	-0.296886232
D01-H01	Dune	D01	0.312619445	-0.876445747	1.13378504	-1.593264244	0.960604622	-0.831811403	-0.723652968	-0.451800471	0.043629664
D01-H01	Dune	D01	0.182986899	-0.414002047	0.274088581	-0.05294511	0.817727683	1.113964898	0.496961399	0.683085726	-0.573084158
D01-H01	Dune	D01	-0.559626374	-1.001557119	1.458306533	-1.556547839	0.760547762	0.682308331	0.932053229	0.458653369	-0.16044789
D01-H01	Dune	D01	0.55576686	-0.087875759	1.01146409	-0.800261643	0.916947912	0.689631677	-0.900459888	-0.704147057	0.329185773
D01-H01	Dune	D01	0.913115979	1.057268548	-1.069819936	-0.109793098	0.62471226	1.306176324	-0.262861304	-0.392681835	-0.853853954
D01-H01	Dune	D01	0.60094154	-0.264161122	1.01146409	-0.454670692	0.869555488	0.385122173	-0.133394775	-0.502559553	-1.169677076
D01-H01	Dune	D01	0.231705567	-0.247364277	1.075955086	0.032734893	0.817727683	0.952395091	0.638699573	1.154625606	-0.431221889
D01-H01	Dune	D01	0.812538897	-1.393623264	1.31921342	-1.520418922	0.80140841	1.728405995	0.230443495	0.490230251	0.194282083
D01-H01	Dune	D01	0.527851824	0.845690534	-1.069819936	0.764871028	0.62471226	1.97588679	0.118415471	1.502557944	-0.801990174
D01-H01	Dune	D01	0.856644127	0.198917708	-1.069819936	-0.331410059	1.038783841	1.706452834	-1.610869876	-0.836585094	-0.573084158
D01-H01	Dune	D01	0.399065922	1.405676558	-1.069819936	0.287988579	0.760547762	1.038987453	-0.093580533	-0.413395763	0.325533876
D01-H01	Dune	D01	0.19534687	0.230822997	-1.069819936	-0.296401464	0.696781674	0.421147874	-0.82268298	0.066897394	-0.615119862
D01-H01	Dune	D01	0.132279173	0.198917708	-1.069819936	0.340995923	0.326025387	1.178673862	-0.114693147	0.508987513	0.329185773
D01-H01	Dune	D01	0.46016841	-0.197939758	-1.069819936	0.356658477	0.960604622	0.981524697	1.452770587	5.309649216	-2.133053747
D01-H01	Dune	D01	0.508887077	0.015542284	1.393063958	0.517295731	0.960604622	0.333983651	-0.853753251	1.045310026	-1.46303189
